model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,auc_roc_mean,auc_roc_std,pr_auc_mean,pr_auc_std,threshold_mean,threshold_std
Logistic Regression,0.9992348599559642,0.00015712599546856317,0.8322394667263714,0.08995268253496289,0.7200259655955858,0.0895848158368678,0.7642524839294313,0.045735154752983696,0.7697881218247393,0.04323271914364113,0.9779649293556395,0.01176622947021728,0.7492912844860828,0.04463781767207788,0.9997296741851863,0.0006088796850829007
Random Forest,0.9994630852845867,0.0001276537143439187,0.8906054040207846,0.05334350012489091,0.7884561289624581,0.03404056774600828,0.8358117383466067,0.03672922211096268,0.8374054070254986,0.03720100224310927,0.9524952657580618,0.014990102258311532,0.8311690509209332,0.03441655760128603,0.4377466345381447,0.10675319846128149
XGBoost,0.9994821040619719,9.522241394795118e-05,0.8894014775384522,0.03956773843161249,0.8028778535107649,0.05451431732614483,0.8421801262767943,0.032695395286799794,0.8438960354114582,0.030337293382835872,0.9765903573083218,0.009742939618310766,0.8380012774115696,0.03493898372493112,0.4831770236815792,0.17544141565932306
