,mean,std
accuracy,0.9989411684610486,0.0003272110359317673
precision,0.7274891774891776,0.14068761958239673
recall,0.6666666666666666,0.10647942749999
f1,0.6865894465894467,0.08409927611205946
mcc,0.6913028058650974,0.08521633863802382
auc_roc,0.9626223678088415,0.018661036858738066
pr_auc,0.6564004873478329,0.1063384471940716
threshold,0.9457034940776297,0.07979265249358873
