strategy,accuracy,precision,recall,f1,auc_roc,pr_auc,mcc,threshold,train_time_sec
smote,0.9989247075862977,0.65625,0.7974683544303798,0.72,0.968603198366034,0.6759689473395812,0.7228984726339706,0.9360391545542123,1.3952
undersampling,0.9987491496412034,0.6145833333333334,0.7468354430379747,0.6742857142857143,0.9724675892044712,0.6308783672267514,0.6768785848353891,0.965144163179025,0.0118
class_weighting,0.999188044503939,0.85,0.6455696202531646,0.7338129496402878,0.9735921930261484,0.6787667416601282,0.7403843157898305,0.9999999993442528,1.4273
none_baseline,0.9991660997608023,0.7733333333333333,0.7341772151898734,0.7532467532467533,0.9625423309059441,0.7079212157181821,0.7530843170762032,0.05,0.605
