feature_index,mean_shap_value,std_shap_value
14,0.22962830611731416,0.051026595961687626
17,0.17911980420780316,0.02674586630608591
16,0.10919058130048453,0.07102513295867495
12,0.10469261538282074,0.044333093332617104
9,0.03825010519284582,0.0631315517259538
25,0.032801959964084554,0.05739316651154462
19,0.029352182974320344,0.048244989537161845
10,0.02794843814394543,0.052360570609152814
26,0.02364701473556851,0.041319096879415415
11,0.02304034820106801,0.03660131073743122
28,0.022961555247636958,0.04717375031647889
2,0.022774396557352583,0.04050750496823907
5,0.02042491290517628,0.029615396063570318
0,0.01800405243421064,0.03644306894904667
18,0.01696056594990441,0.022474379112250895
24,0.014029066567738824,0.038847246139408084
29,0.011957673854047859,0.020487306444731446
3,0.010278011463008366,0.02357400731219369
7,0.01017661293484909,0.023441952134871453
22,0.009196170827376646,0.055958726193192615
21,0.007104511170600078,0.010995870970034603
13,0.006035186741272389,0.018105560223817166
1,0.004329432196117526,0.012988296588352577
4,0.003745476455751699,0.011236429367255097
20,0.0036690779170716536,0.011007233751214963
27,0.0034234469376389852,0.010270340812916957
8,0.003079551801480678,0.009238655404442036
6,0.0030309270548305968,0.00909278116449179
23,0.001148012452246072,0.0034440373567382163
15,0.0,0.0
