metric,point_estimate,ci_lower,ci_upper,ci_width,n_bootstrap,model
f1,0.8064516129032258,0.7389092588446037,0.8666666666666667,0.12775740782206302,2000,Logistic Regression
pr_auc,0.7119579705555309,0.6132235836301272,0.8104641645799006,0.19724058094977337,2000,Logistic Regression
f1,0.8663101604278075,0.8135429196282122,0.9157894736842105,0.10224655405599825,2000,Random Forest
pr_auc,0.8430706204931149,0.7588820075422711,0.9180957299385668,0.15921372239629572,2000,Random Forest
f1,0.8526315789473684,0.7976172217353199,0.9052683948677664,0.10765117313244654,2000,XGBoost
pr_auc,0.8737213963216041,0.8138670867007685,0.930141940577638,0.11627485387686953,2000,XGBoost
f1,0.4942528735632184,0.3976590572817586,0.5818229918229918,0.1841639345412332,2000,RXT (ResNeXt-GRU)
pr_auc,0.4317726081282549,0.3319831799921683,0.5437495284432964,0.21176634845112807,2000,RXT (ResNeXt-GRU)
