accuracy,precision,recall,f1,mcc,auc_roc,pr_auc,model,fold,threshold
0.9992758234764862,0.7586206896551724,0.8461538461538461,0.8,0.8008348671549465,0.991873709592599,0.8152735020527841,Logistic Regression,0,0.9998413472720813
0.9993197129627598,0.8870967741935484,0.6962025316455697,0.7801418439716312,0.7855542142422816,0.9760194896082321,0.7706345462408368,Logistic Regression,1,0.9999999999999841
0.9994952709078541,0.9,0.7974683544303798,0.8456375838926175,0.8469372152221124,0.9850089461865316,0.7615705094437664,Logistic Regression,2,0.999999969364417
0.9991441550176655,0.8846153846153846,0.5822784810126582,0.7022900763358778,0.7173240311748988,0.9684838231242922,0.6941958401191004,Logistic Regression,3,0.9999999999632642
0.9992538787333495,0.7848101265822784,0.7848101265822784,0.7848101265822784,0.7844364180749143,0.9806314365933811,0.6988234520505635,Logistic Regression,4,0.99999999608299
0.9993416577058966,0.8529411764705882,0.7435897435897436,0.7945205479452054,0.7960678772535472,0.9890768757302797,0.7612043210983278,Logistic Regression,5,0.9999999999996647
0.999297768219623,0.9607843137254902,0.620253164556962,0.7538461538461538,0.771672535504298,0.9651770732752504,0.7683269234007716,Logistic Regression,6,0.9999999999904311
0.9994513814215804,0.9090909090909091,0.759493670886076,0.8275862068965517,0.830669495059505,0.9896999201382416,0.7950435589222913,Logistic Regression,7,0.9999999833963396
0.9990344313019817,0.8070175438596491,0.5822784810126582,0.6764705882352942,0.6850487416053954,0.9729983777210738,0.6811463196838539,Logistic Regression,8,0.9999999999999883
0.9991441550176655,0.7439024390243902,0.7721518987341772,0.7577639751552795,0.7574674213424705,0.9717858424858989,0.7602462678714513,Logistic Regression,9,0.9994446450704085
0.9992099892470758,0.8620689655172413,0.6410256410256411,0.7352941176470589,0.7430090409265537,0.9851089170075344,0.7136075006264817,Logistic Regression,10,0.9999999999997385
0.9989466523294345,0.6666666666666666,0.7848101265822784,0.7209302325581395,0.7228134703981397,0.9779773548783848,0.6790964272358028,Logistic Regression,11,0.9987610207200998
0.9990124865588448,0.67,0.8481012658227848,0.7486033519553073,0.7533380191586515,0.9835799215852141,0.778975152071476,Logistic Regression,12,0.9978981522790976
0.9992319339902126,0.8793103448275862,0.6455696202531646,0.7445255474452555,0.7530761277741652,0.9468016339660127,0.7588420945853374,Logistic Regression,13,0.9999999999951935
0.9993636024490333,0.9166666666666666,0.6962025316455697,0.7913669064748201,0.79857235247921,0.9852506184416661,0.8023828518883975,Logistic Regression,14,0.9999999986440974
0.9996049946235379,0.96875,0.7948717948717948,0.8732394366197183,0.8773311753576845,0.9657885273446594,0.8870448539587069,Random Forest,0,0.5
0.9995172156509908,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.8530665098781697,0.9471813251486625,0.8451721573538877,Random Forest,1,0.5
0.9996269393666747,0.9305555555555556,0.8481012658227848,0.8874172185430463,0.888188832645295,0.9586850357986593,0.8618806551221037,Random Forest,2,0.3265879518071597
0.9991660997608023,0.7733333333333333,0.7341772151898734,0.7532467532467533,0.7530843170762032,0.9396645806144625,0.7503379611333456,Random Forest,3,0.25
0.9994733261647173,0.8767123287671232,0.810126582278481,0.8421052631578947,0.8425007275066987,0.953197531242087,0.8282435049682393,Random Forest,4,0.5
0.9994513814215804,0.8732394366197183,0.7948717948717948,0.8322147651006712,0.8328632405241426,0.9724587675555999,0.8520430485283401,Random Forest,5,0.5
0.9994733261647173,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.8395000123369438,0.9394156734961919,0.8062187687426432,Random Forest,6,0.5
0.9995391603941276,0.9027777777777778,0.8227848101265823,0.8609271523178808,0.8616262467887872,0.9730054734522262,0.8604262085268438,Random Forest,7,0.5
0.9993636024490333,0.8571428571428571,0.759493670886076,0.8053691275167785,0.8065290349469912,0.9462175578997748,0.7941912130212477,Random Forest,8,0.5
0.9994733261647173,0.9365079365079365,0.7468354430379747,0.8309859154929577,0.8360662496586029,0.9598487357076669,0.8311830988717657,Random Forest,9,0.5
0.9993855471921701,0.890625,0.7307692307692307,0.8028169014084507,0.806453426913246,0.9329854764171442,0.8321532324167544,Random Forest,10,0.5
0.9992538787333495,0.7922077922077922,0.7721518987341772,0.782051282051282,0.7817421121489135,0.9202366078509396,0.7928864793463343,Random Forest,11,0.25
0.9995172156509908,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.855690883946638,0.9595941241780779,0.8571270847118821,Random Forest,12,0.25
0.9994952709078541,0.9,0.7974683544303798,0.8456375838926175,0.8469372152221124,0.9531791658202804,0.8213201106628083,Random Forest,13,0.5
0.9996049946235379,0.9552238805970149,0.810126582278481,0.8767123287671232,0.8795011204320502,0.965970403844495,0.847307386449096,Random Forest,14,0.4896115662650118
0.9995830498804011,0.9538461538461539,0.7948717948717948,0.8671328671328671,0.8705418044780824,0.9881661574084252,0.900841258050295,XGBoost,0,0.5
0.9994952709078541,0.868421052631579,0.8354430379746836,0.8516129032258064,0.8515202562497102,0.9754231699274566,0.8262635363476308,XGBoost,1,0.5
0.9995172156509908,0.88,0.8354430379746836,0.8571428571428571,0.8571914000164298,0.9873172849228236,0.8638062763964471,XGBoost,2,0.5
0.999297768219623,0.9433962264150944,0.6329113924050633,0.7575757575757576,0.7724123208328509,0.9597187864351882,0.7512003383189093,XGBoost,3,0.9976553552236882
0.9995172156509908,0.88,0.8354430379746836,0.8571428571428571,0.8571914000164298,0.9780001725236593,0.8483167262123237,XGBoost,4,0.5
0.9994952709078541,0.8767123287671232,0.8205128205128205,0.847682119205298,0.847896119179986,0.9949068539339143,0.8634959366544461,XGBoost,5,0.5
0.9994733261647173,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.8395000123369438,0.9667532995149859,0.8093193126775271,XGBoost,6,0.5
0.9996049946235379,0.8961038961038961,0.8734177215189873,0.8846153846153846,0.8844905181950462,0.9867415567755884,0.8673882940989103,XGBoost,7,0.25
0.9993197129627598,0.8076923076923077,0.7974683544303798,0.802547770700637,0.8022233833800144,0.9627283503677259,0.8174263821491701,XGBoost,8,0.5
0.9995172156509908,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.8530665098781697,0.9738175868392274,0.8501006390279893,XGBoost,9,0.5
0.9994952709078541,0.8985507246376812,0.7948717948717948,0.8435374149659864,0.8448756713906445,0.97739986889489,0.8385973510029467,XGBoost,10,0.5
0.9993855471921701,0.8695652173913043,0.759493670886076,0.8108108108108109,0.8123670172544922,0.9744502199676658,0.8025021215228543,XGBoost,11,0.5
0.9995391603941276,0.9027777777777778,0.8227848101265823,0.8609271523178808,0.8616262467887872,0.9740215543268655,0.8550038429379208,XGBoost,12,0.25
0.9993855471921701,0.8227848101265823,0.8227848101265823,0.8227848101265823,0.8224770501793411,0.9703584874683824,0.826894587517563,XGBoost,13,0.5
0.9996049946235379,0.9295774647887324,0.8354430379746836,0.88,0.8810608209949444,0.979052010318028,0.8488625582586105,XGBoost,14,0.25
